Ticker,CompanyName,Status,OpenPrice,ClosePrice,DailyReturn%,SharesOutstanding,MarketCap,CAGR,Volatility,RiskScore,RiskLevel,Sector
UBL,United Bank Limited,Not Halal (Conventional),680.74,692.16,1.6776,329237316,227884900643,0.0944,0.323,0,Low,Banking
MARI,Mari Petroleum Company Limited,Halal (Shariah Compliant),440.43,436.51,-0.89,1555999102,679209168014,0.055,0.8357,0.0561,Low,Oil & Gas
MEBL,Meezan Bank Limited,Halal (Shariah Compliant),65.66,61.18,-6.823,280995032,17191276058,0.1448,3.5086,0.2785,Low,Banking
FFC,Fauji Fertilizer Company Limited,Halal (Shariah Compliant),923.02,910.2,-1.3889,2595460470,2362388119794,0.0685,3.4943,0.3152,Moderate,Fertilizer
LUCK,Lucky Cement Limited,Halal (Shariah Compliant),1722.68,1704.15,-1.0756,115661557,197104642362,0.1384,6.7819,0.609,High,Cement
PPL,Pakistan Petroleum Limited,Halal (Shariah Compliant),1620.63,1599.53,-1.302,3436953481,5497510201464,0.038,1.2708,0.1081,Low,Oil & Gas
NBP,National Bank of Pakistan,Not Halal (Conventional),1227.79,1220.37,-0.6043,1985750007,2423349736043,-0.0136,2.9389,0.3007,Moderate,Banking
HBL,Habib Bank Limited,Not Halal (Conventional),637.19,693.49,8.8357,965029554,669238345403,0.1439,4.9841,0.4265,Moderate,Banking
MCB,MCB Bank Limited,Not Halal (Conventional),910.51,934.14,2.5952,3649996379,3409607617479,0.0153,1.5709,0.1494,Low,Banking
PAKT,Pakistan Tobacco Company Limited,Not Halal,408.05,408.67,0.1519,1973952583,806695202095,0.0043,1.2472,0.1226,Low,FMCG
BWCL,Bestway Cement Limited,Halal (Shariah Compliant),1181.77,1191.1,0.7895,1416195951,1686830997236,0.0093,3.0478,0.3001,Moderate,Cement
NESTLE,Nestlé Pakistan Limited,Halal (Subject to Financial Screens),167.61,171.38,2.2493,3658585481,627008379734,0.1043,4.2194,0.3698,Moderate,FMCG
COLG,Colgate-Palmolive Pakistan Limited,Halal (Subject to Financial Screens),1854.08,1900.19,2.4869,4257690960,8090421785282,0.0399,2.6028,0.2403,Low,FMCG
FATIMA,Fatima Fertilizer Company Limited,Halal (Shariah Compliant),145.85,141.74,-2.818,3661550582,518988179493,0.0775,0.9905,0.0603,Low,Fertilizer
EFERT,Engro Fertilizers Limited,Halal (Shariah Compliant),1131.26,1148.01,1.4806,4252123430,4881480218874,0.0943,1.7972,0.1326,Low,Fertilizer
ENGROH,Engro Holding Limited,Halal (Shariah Compliant),1546.52,1710.71,10.6167,2166328040,3705959041308,-0.0449,0.301,0.0525,Low,Conglomerate
HUBC,The Hub Power Company Limited,Halal (Shariah Compliant),419.4,420.74,0.3195,2838214081,1194150192440,0.0891,4.4029,0.3957,Moderate,Power
SYS,Systems Limited,Halal (Shariah Compliant),1395.67,1414.92,1.3793,1513386744,2141321171820,-0.0289,4.2416,0.4386,Moderate,Technology
PSO,Pakistan State Oil Company Limited,Halal (Shariah Compliant),459.77,457.34,-0.5285,4717403034,2157457103570,0.0146,0.0057,0,Low,Oil & Gas
KEL,K-Electric Limited,Halal (Shariah Compliant),1125.04,1108.3,-1.4879,1306881298,1448416542573,-0.0006,1.6338,0.1637,Low,Power
PTC,Pakistan Telecommunication Company Limited,Halal (Shariah Compliant),1004.55,977.25,-2.7176,232590389,227298957650,0.0719,0.4815,0.0122,Low,Telecom
POL,Pakistan Oilfields Limited,Halal (Shariah Compliant),989.12,1027.98,3.9287,1226305842,1260617879459,0.0956,3.8798,0.3402,Moderate,Oil & Gas
ATLH,Atlas Honda Limited,Halal (Shariah Compliant),655.14,691.96,5.6202,132109753,91414664686,0.0524,4.184,0.3922,Moderate,Automobile
INDU,Indus Motor Company Limited,Halal (Shariah Compliant),710.36,723.03,1.7836,4196665024,3034314712303,0.0851,4.1742,0.3749,Moderate,Automobile
ISL,International Steels Limited,Halal (Shariah Compliant),1729.01,1721.19,-0.4523,4543083846,7819510484897,0.0684,3.1461,0.2804,Low,Steel
TRG,TRG Pakistan Limited,Halal (Shariah Compliant),105.46,106.21,0.7112,4965175740,527351315345,-0.0352,4.4588,0.4635,Moderate,Technology
BAFL,Bank Alfalah Limited,Not Halal (Conventional),150.21,153.34,2.0596,3050000000,467267000000,0.1131,3.2151,0.2986,Low,Banking
EFU,EFU General Insurance Limited,Halal (Shariah Compliant),55.25,54.9,-0.6358,1230000000,67527000000,0.1221,2.4783,0.2166,Low,Insurance
SNGP,Sui Northern Gas Pipelines Limited,Halal (Shariah Compliant),26.51,26.3,-0.7882,2925000000,76882500000,0.0211,0.4563,0.0096,Low,Gas Utility
MUGHAL,Mughal Iron & Steel Industries Limited,Halal (Shariah Compliant),37.99,37.5,-1.2935,1250000000,46875000000,0.1126,4.1234,0.3875,Moderate,Steel
BAHL,Bank of Asia Limited,Not Halal (Conventional),12.5,12.6,0.8,5000000000,6300000000,0.09,3.5,0.25,Low,Banking
SHEL,Shell Pakistan Limited,Not Halal (Conventional),1450.75,1445.89,-0.3341,200000000,289178000000,0.025,1.2,0.1,Low,Oil & Gas
HUBCL,Hub Power Company Limited - Cl A,Halal (Shariah Compliant),419.4,420.74,0.3195,2838214081,1194150192440,0.0891,4.4029,0.3957,Moderate,Power
ENGRO,Engro Corporation Limited,Halal (Shariah Compliant),285.4,289.1,1.3,1200000000,346920000000,0.092,2.31,0.21,Low,Conglomerate
UNITY,Unity Foods Limited,Halal (Shariah Compliant),34.2,33.8,-1.17,3800000000,128440000000,0.081,3.85,0.42,Moderate,FMCG
EPCL,Engro Polymer & Chemicals Limited,Halal (Shariah Compliant),46.1,47.25,2.49,2500000000,118125000000,0.064,2.12,0.19,Low,Chemicals
SEARL2,Searle Pakistan Pharma,Halal (Subject to Financial Screens),215.3,212.1,-1.49,900000000,190890000000,0.11,2.88,0.27,Moderate,Pharmaceuticals
ICI,ICI Pakistan Limited,Halal (Subject to Financial Screens),765.5,781.4,2.08,520000000,406328000000,0.089,2.45,0.22,Low,Chemicals
AVN,Avenir Technologies,Halal (Shariah Compliant),58.9,61.1,3.73,3100000000,189410000000,0.132,4.9,0.51,High,Technology
